_id,ProfileId,Hard-angled eyebrows,Sideburns,Age between 16-20,Asian race,Small mouth,Male,Nubian nose,Age between 6-10,Triangular ear,Pointed chin,Brown hair,Dark lips,Tongue earlobe,Uneven cheekbones,Age between 61-70,Age between 11-15,Earrings,Creased skin,Curly hair,Arched earlobe,Age between 41-50,Streight hairline,Collagen-inflated lips,Piercings,Round eyebrows,Ractangular ear,Wide nose,Square earlobe,Triangular earlobe,Hawk nose,Long eyebrows,Age between 21-30,White race,Big eyeballs,Long nose,Pimples,Pouty lips,Freckles,Green eyes,Big forehead,Face marks,Hispanic race,Coily hair,Female,Blue eyes,Make-up,Double chin,Red cheeks,Goatee,Sunken of flat cheekbones,Cracked lips,Cleft chin,Long hair,Streight forehead,Wrinkled skin,Narrow nostrils,Flared nostrils,Protruding cheekbones,Mustache,Oval ear,Age between 51-60,Short hair,Tatto,Brown eyes,Straight hair,Short eyebrows,Streight eyebrows,Blonde hair,African nose,Unshaven facial hair,Protruding chin,Narrow forehead,Round ear,M-shaped forehead,Pierced lips,Curved forehead,Square chin,Facial hair,Red hair,Beard,Black race,Wide nostrils,Turned-up nose,Roman nose,Shaven facial hair,Age between 31-40,Age over 70,Wavy hair,Narrow chin,Straight nose,Long chin,Indian race,Receding chin,American Indian race,Snub nose,High cheekbones,Smooth skin,Low cheekbones,Prominent cheekbones,Wide mouth,Bald head,Black hair,Glasses,Moles
666973ab63d3140da9da12d9,003320.jpg,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,,,,
6669749e63d3140da9da12da,000001.jpg,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,,,,
666974d9c0f4be6f396ff79e,001189.jpg,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,,No,,No,Yes,,No,Yes,No,No,Yes,No,No,No,No,Yes,,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,,,
666974d9c0f4be6f396ff79f,001189.jpg,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,,No,,No,Yes,,No,Yes,No,No,Yes,No,No,No,No,Yes,,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,,,
66697972c0f4be6f396ff7a0,009694.jpg,,,,Yes,Yes,Yes,,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,Yes,No,No,No,No,Yes,No,No,No,No,No,No,,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,,No,Yes,Yes,No,,No,No,No,No,No,No,No,No,,,,
66697972c0f4be6f396ff7a1,009694.jpg,,,,Yes,Yes,Yes,,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,Yes,No,No,No,No,Yes,No,No,No,No,No,No,,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,,No,Yes,Yes,No,,No,No,No,No,No,No,No,No,,,,
66697972c0f4be6f396ff7a2,009694.jpg,,,,Yes,Yes,Yes,,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,Yes,No,No,No,No,Yes,No,No,No,No,No,No,,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,,No,Yes,Yes,No,,No,No,No,No,No,No,No,No,,,,
66697972c0f4be6f396ff7a3,009694.jpg,,,,Yes,Yes,Yes,,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,Yes,No,No,No,No,Yes,No,No,No,No,No,No,,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,,No,Yes,Yes,No,,No,No,No,No,No,No,No,No,,,,
66697972c0f4be6f396ff7a4,009694.jpg,,,,Yes,Yes,Yes,,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,Yes,No,No,No,No,Yes,No,No,No,No,No,No,,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,,No,Yes,Yes,No,,No,No,No,No,No,No,No,No,,,,
66697972c0f4be6f396ff7a5,009694.jpg,,,,Yes,Yes,Yes,,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,Yes,No,No,No,No,Yes,No,No,No,No,No,No,,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,,No,Yes,Yes,No,,No,No,No,No,No,No,No,No,,,,
